hospital_id,hospital_name,hospital_type,specialty_focus,city,state,total_beds,established_year,contact_number,rating
HOS0001,Kochi Multi-Specialty Hospital,Multi-Specialty,Cardiology,Kochi,Kerala,75,2012,+91-5260181590,3.8
HOS0002,"Browning Specialty Hospital, Coimbatore",Specialty,Nephrology,Coimbatore,Tamil Nadu,150,1962,+91-3016613186,2.7
HOS0003,"Brown General Hospital, Lucknow",General,Nephrology,Lucknow,Uttar Pradesh,500,1963,+91-9139099603,4.6
HOS0004,Chennai Multi-Specialty Hospital,Multi-Specialty,Pulmonology,Chennai,Tamil Nadu,50,1996,+91-0824628194,4.0
HOS0005,"Castro Multi-Specialty Hospital, Visakhapatnam",Multi-Specialty,Orthopedics,Visakhapatnam,Andhra Pradesh,200,1986,+91-2199351819,2.9
HOS0006,Chennai Specialty Hospital,Specialty,Orthopedics,Chennai,Tamil Nadu,75,1997,+91-0937865797,3.9
HOS0007,"Ward Teaching Hospital, Delhi",Teaching,Oncology,Delhi,Delhi,50,1999,+91-3231948757,3.0
HOS0008,Warangal Community Hospital,Community,Trauma Care,Warangal,Telangana,750,1983,+91-4911862527,3.2
HOS0009,"Fisher Multi-Specialty Hospital, Mumbai",Multi-Specialty,Neurology,Mumbai,Maharashtra,1000,1991,+91-1895559797,4.7
HOS0010,Jaipur Teaching Hospital,Teaching,Oncology,Jaipur,Rajasthan,75,1992,+91-1147104974,3.5
HOS0011,Kochi Multi-Specialty Hospital,Multi-Specialty,Maternity,Kochi,Kerala,50,2002,+91-6507529170,2.7
HOS0012,Warangal Specialty Hospital,Specialty,General Medicine,Warangal,Telangana,300,2004,+91-3423667127,3.4
HOS0013,Bhopal Specialty Hospital,Specialty,Oncology,Bhopal,Madhya Pradesh,75,1977,+91-6842684656,3.7
HOS0014,Vijayawada General Hospital,General,Neurology,Vijayawada,Andhra Pradesh,750,1978,+91-3212233079,4.3
HOS0015,Coimbatore General Hospital,General,General Medicine,Coimbatore,Tamil Nadu,100,1999,+91-2440268599,2.8
HOS0016,Visakhapatnam Multi-Specialty Hospital,Multi-Specialty,Orthopedics,Visakhapatnam,Andhra Pradesh,150,1985,+91-5289078666,3.5
HOS0017,"Long General Hospital, Bhopal",General,Maternity,Bhopal,Madhya Pradesh,1000,1977,+91-7603137215,4.7
HOS0018,"Burke Specialty Hospital, Lucknow",Specialty,Maternity,Lucknow,Uttar Pradesh,300,2003,+91-1092815901,4.7
HOS0019,"Sawyer Multi-Specialty Hospital, Kolkata",Multi-Specialty,Orthopedics,Kolkata,West Bengal,150,2002,+91-9624595711,3.1
HOS0020,"Sweeney Specialty Hospital, Bhopal",Specialty,Neurology,Bhopal,Madhya Pradesh,50,1969,+91-7774121547,3.5
HOS0021,Coimbatore Specialty Hospital,Specialty,Orthopedics,Coimbatore,Tamil Nadu,1000,1999,+91-2803852808,4.1
HOS0022,Visakhapatnam Community Hospital,Community,Nephrology,Visakhapatnam,Andhra Pradesh,500,1985,+91-4148525388,3.5
HOS0023,Chennai Community Hospital,Community,Cardiology,Chennai,Tamil Nadu,150,1964,+91-8539336338,5.0
HOS0024,"Vasquez Multi-Specialty Hospital, Jaipur",Multi-Specialty,Pulmonology,Jaipur,Rajasthan,50,1966,+91-0047439575,2.5
HOS0025,"Friedman Specialty Hospital, Bengaluru",Specialty,General Medicine,Bengaluru,Karnataka,50,1964,+91-5131373537,4.7
