disease_id,disease_name,category,typical_severity,is_chronic,description
DIS0001,Common Cold,Respiratory,Mild,False,Common Cold is a respiratory condition typically presenting with mild severity.
DIS0002,Influenza,Respiratory,Moderate,False,Influenza is a respiratory condition typically presenting with moderate severity.
DIS0003,Pneumonia,Respiratory,Severe,False,Pneumonia is a respiratory condition typically presenting with severe severity.
DIS0004,Asthma,Respiratory,Moderate,True,Asthma is a respiratory condition typically presenting with moderate severity.
DIS0005,Bronchitis,Respiratory,Moderate,False,Bronchitis is a respiratory condition typically presenting with moderate severity.
DIS0006,Tuberculosis,Respiratory,Severe,True,Tuberculosis is a respiratory condition typically presenting with severe severity.
DIS0007,COVID-19,Respiratory,Moderate,False,COVID-19 is a respiratory condition typically presenting with moderate severity.
DIS0008,Chronic Obstructive Pulmonary Disease,Respiratory,Severe,True,Chronic Obstructive Pulmonary Disease is a respiratory condition typically presenting with severe severity.
DIS0009,Sinusitis,Respiratory,Mild,False,Sinusitis is a respiratory condition typically presenting with mild severity.
DIS0010,Pharyngitis,Respiratory,Mild,False,Pharyngitis is a respiratory condition typically presenting with mild severity.
DIS0011,Malaria,Infectious,Severe,False,Malaria is a infectious condition typically presenting with severe severity.
DIS0012,Dengue Fever,Infectious,Severe,False,Dengue Fever is a infectious condition typically presenting with severe severity.
DIS0013,Typhoid Fever,Infectious,Severe,False,Typhoid Fever is a infectious condition typically presenting with severe severity.
DIS0014,Chickenpox,Infectious,Mild,False,Chickenpox is a infectious condition typically presenting with mild severity.
DIS0015,Measles,Infectious,Moderate,False,Measles is a infectious condition typically presenting with moderate severity.
DIS0016,Hepatitis A,Infectious,Moderate,False,Hepatitis A is a infectious condition typically presenting with moderate severity.
DIS0017,Hepatitis B,Infectious,Severe,True,Hepatitis B is a infectious condition typically presenting with severe severity.
DIS0018,Hepatitis C,Infectious,Severe,True,Hepatitis C is a infectious condition typically presenting with severe severity.
DIS0019,HIV/AIDS,Infectious,Severe,True,HIV/AIDS is a infectious condition typically presenting with severe severity.
DIS0020,Cholera,Infectious,Severe,False,Cholera is a infectious condition typically presenting with severe severity.
DIS0021,Type 1 Diabetes Mellitus,Endocrine,Severe,True,Type 1 Diabetes Mellitus is a endocrine condition typically presenting with severe severity.
DIS0022,Type 2 Diabetes Mellitus,Endocrine,Moderate,True,Type 2 Diabetes Mellitus is a endocrine condition typically presenting with moderate severity.
DIS0023,Hypothyroidism,Endocrine,Moderate,True,Hypothyroidism is a endocrine condition typically presenting with moderate severity.
DIS0024,Hyperthyroidism,Endocrine,Moderate,True,Hyperthyroidism is a endocrine condition typically presenting with moderate severity.
