medicine_id,generic_name,brand_name,drug_class,dosage_form,strength_mg,common_use,manufacturer,price_inr,requires_prescription
MED00001,Paracetamol,Paracetamol-SUN,Analgesic/Antipyretic,Tablet,50,Fever and pain relief,Sun Pharma,2446.05,True
MED00002,Ibuprofen,Ibuprofen-Forte-CIP,NSAID,Injection,5,Pain and inflammation relief,Cipla,140.6,True
MED00003,Aspirin,Aspirin XR-DR.,NSAID/Antiplatelet,Tablet,100,Pain relief and blood thinning,Dr. Reddy's,1757.98,False
MED00004,Amoxicillin,Amoxicillin-LUP,Antibiotic (Penicillin),Cream,N/A,Bacterial infections,Lupin,347.34,False
MED00005,Azithromycin,Azithromycin-AUR,Antibiotic (Macrolide),Tablet,50,Respiratory and skin infections,Aurobindo Pharma,2486.2,True
MED00006,Ciprofloxacin,Ciprofloxacin-ZYD,Antibiotic (Fluoroquinolone),Powder,1000,Urinary and GI infections,Zydus Cadila,1593.97,True
MED00007,Metformin,Metformin-MAN,Antidiabetic (Biguanide),Ointment,N/A,Type 2 diabetes management,Mankind Pharma,1907.17,True
MED00008,Insulin Glargine,Insulin-TOR,Antidiabetic (Insulin),Tablet,50,Diabetes mellitus,Torrent Pharma,2190.84,True
MED00009,Amlodipine,Amlodipine-Forte-ALK,Antihypertensive (CCB),Cream,N/A,High blood pressure,Alkem Labs,226.96,True
MED00010,Losartan,Losartan-GLE,Antihypertensive (ARB),Syrup,250,High blood pressure,Glenmark,544.21,False
MED00011,Atenolol,Atenolol DS-SUN,Antihypertensive (Beta-blocker),Tablet,10,High blood pressure and arrhythmia,Sun Pharma,1786.09,True
MED00012,Atorvastatin,Atorvastatin-Plus-CIP,Statin,Tablet,50,Cholesterol management,Cipla,1144.77,True
MED00013,Omeprazole,Omeprazole-Plus-DR.,Proton Pump Inhibitor,Tablet,125,Acid reflux and ulcers,Dr. Reddy's,2034.33,False
MED00014,Ranitidine,Ranitidine-Plus-LUP,H2 Blocker,Inhaler,N/A,Acid reflux,Lupin,2189.45,False
MED00015,Cetirizine,Cetirizine XR-AUR,Antihistamine,Tablet,25,Allergy relief,Aurobindo Pharma,407.53,False
MED00016,Loratadine,Loratadine-Plus-ZYD,Antihistamine,Capsule,1000,Allergy relief,Zydus Cadila,927.58,True
