symptom_id,symptom_name,body_location,severity_level,description
SYM00001,Fever,General,Moderate,Patient-reported fever without additional qualifiers.
SYM00002,Cough,General,Moderate,Patient-reported cough without additional qualifiers.
SYM00003,Headache,General,Moderate,Patient-reported headache without additional qualifiers.
SYM00004,Fatigue,General,Moderate,Patient-reported fatigue without additional qualifiers.
SYM00005,Sore Throat,General,Moderate,Patient-reported sore throat without additional qualifiers.
SYM00006,Runny Nose,General,Moderate,Patient-reported runny nose without additional qualifiers.
SYM00007,Shortness of Breath,General,Moderate,Patient-reported shortness of breath without additional qualifiers.
SYM00008,Chest Pain,General,Moderate,Patient-reported chest pain without additional qualifiers.
SYM00009,Nausea,General,Moderate,Patient-reported nausea without additional qualifiers.
SYM00010,Vomiting,General,Moderate,Patient-reported vomiting without additional qualifiers.
SYM00011,Diarrhea,General,Moderate,Patient-reported diarrhea without additional qualifiers.
SYM00012,Constipation,General,Moderate,Patient-reported constipation without additional qualifiers.
SYM00013,Abdominal Pain,General,Moderate,Patient-reported abdominal pain without additional qualifiers.
SYM00014,Muscle Ache,General,Moderate,Patient-reported muscle ache without additional qualifiers.
SYM00015,Joint Pain,General,Moderate,Patient-reported joint pain without additional qualifiers.
SYM00016,Rash,General,Moderate,Patient-reported rash without additional qualifiers.
SYM00017,Itching,General,Moderate,Patient-reported itching without additional qualifiers.
SYM00018,Dizziness,General,Moderate,Patient-reported dizziness without additional qualifiers.
SYM00019,Loss of Appetite,General,Moderate,Patient-reported loss of appetite without additional qualifiers.
SYM00020,Weight Loss,General,Moderate,Patient-reported weight loss without additional qualifiers.
SYM00021,Weight Gain,General,Moderate,Patient-reported weight gain without additional qualifiers.
SYM00022,Chills,General,Moderate,Patient-reported chills without additional qualifiers.
SYM00023,Sweating,General,Moderate,Patient-reported sweating without additional qualifiers.
SYM00024,Blurred Vision,General,Moderate,Patient-reported blurred vision without additional qualifiers.
SYM00025,Ear Pain,General,Moderate,Patient-reported ear pain without additional qualifiers.
SYM00026,Sneezing,General,Moderate,Patient-reported sneezing without additional qualifiers.
SYM00027,Nasal Congestion,General,Moderate,Patient-reported nasal congestion without additional qualifiers.
SYM00028,Swollen Lymph Nodes,General,Moderate,Patient-reported swollen lymph nodes without additional qualifiers.
SYM00029,Back Pain,General,Moderate,Patient-reported back pain without additional qualifiers.
SYM00030,Neck Stiffness,General,Moderate,Patient-reported neck stiffness without additional qualifiers.
SYM00031,Confusion,General,Moderate,Patient-reported confusion without additional qualifiers.
SYM00032,Palpitations,General,Moderate,Patient-reported palpitations without additional qualifiers.
